date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:23:27	72780/72780	---M--	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2016:52:10%20GMT	https://demos.codexcoder.com/labartisan/html/heal/heal/index.html	C:/Users/Itsme/OneDrive/Desktop/new/demos.codexcoder.com/labartisan/html/heal/heal/index.html	(from )
10:23:28	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20May%202023%2004:53:12%20GMT	https://demos.codexcoder.com/robots.txt		(from )
10:23:28	2225/2225	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Dec%202021%2021:55:08%20GMT	https://demos.codexcoder.com/labartisan/html/heal/heal/assets/css/favicon.png	C:/Users/Itsme/OneDrive/Desktop/new/demos.codexcoder.com/labartisan/html/heal/heal/assets/css/favicon.png	(from https://demos.codexcoder.com/labartisan/html/heal/heal/index.html)
10:23:29	16952/16952	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Nov%202021%2021:39:14%20GMT	https://demos.codexcoder.com/labartisan/html/heal/heal/assets/css/animate.css	C:/Users/Itsme/OneDrive/Desktop/new/demos.codexcoder.com/labartisan/html/heal/heal/assets/css/animate.css	(from https://demos.codexcoder.com/labartisan/html/heal/heal/index.html)
10:23:30	163873/163873	---M--	200	added ('OK')	text/css	date:Sun,%2010%20Oct%202021%2001:44:24%20GMT	https://demos.codexcoder.com/labartisan/html/heal/heal/assets/css/bootstrap.min.css	C:/Users/Itsme/OneDrive/Desktop/new/demos.codexcoder.com/labartisan/html/heal/heal/assets/css/bootstrap.min.css	(from https://demos.codexcoder.com/labartisan/html/heal/heal/index.html)
10:23:30	59305/59305	---M--	200	added ('OK')	text/css	date:Wed,%2004%20Aug%202021%2022:25:46%20GMT	https://demos.codexcoder.com/labartisan/html/heal/heal/assets/css/all.min.css	C:/Users/Itsme/OneDrive/Desktop/new/demos.codexcoder.com/labartisan/html/heal/heal/assets/css/all.min.css	(from https://demos.codexcoder.com/labartisan/html/heal/heal/index.html)
10:23:38	15564/15564	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Dec%202021%2021:33:22%20GMT	https://demos.codexcoder.com/labartisan/html/heal/heal/assets/css/swiper.min.css	C:/Users/Itsme/OneDrive/Desktop/new/demos.codexcoder.com/labartisan/html/heal/heal/assets/css/swiper.min.css	(from https://demos.codexcoder.com/labartisan/html/heal/heal/index.html)
10:23:38	17010/17010	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Dec%202020%2018:51:10%20GMT	https://demos.codexcoder.com/labartisan/html/heal/heal/assets/css/lightcase.css	C:/Users/Itsme/OneDrive/Desktop/new/demos.codexcoder.com/labartisan/html/heal/heal/assets/css/lightcase.css	(from https://demos.codexcoder.com/labartisan/html/heal/heal/index.html)
10:23:39	80179/80179	---M--	200	added ('OK')	text/css	date:Sun,%2026%20Dec%202021%2017:53:00%20GMT	https://demos.codexcoder.com/labartisan/html/heal/heal/assets/css/style.min.css	C:/Users/Itsme/OneDrive/Desktop/new/demos.codexcoder.com/labartisan/html/heal/heal/assets/css/style.min.css	(from https://demos.codexcoder.com/labartisan/html/heal/heal/index.html)
10:23:39	2225/2225	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Dec%202021%2021:55:08%20GMT	https://demos.codexcoder.com/labartisan/html/heal/heal/assets/images/logo/03.png	C:/Users/Itsme/OneDrive/Desktop/new/demos.codexcoder.com/labartisan/html/heal/heal/assets/images/logo/03.png	(from https://demos.codexcoder.com/labartisan/html/heal/heal/index.html)
10:23:39	67146/67146	---M--	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2016:44:18%20GMT	https://demos.codexcoder.com/labartisan/html/heal/heal/index-2.html	C:/Users/Itsme/OneDrive/Desktop/new/demos.codexcoder.com/labartisan/html/heal/heal/index-2.html	(from https://demos.codexcoder.com/labartisan/html/heal/heal/index.html)
10:23:40	37003/37003	---M--	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2016:43:24%20GMT	https://demos.codexcoder.com/labartisan/html/heal/heal/event.html	C:/Users/Itsme/OneDrive/Desktop/new/demos.codexcoder.com/labartisan/html/heal/heal/event.html	(from https://demos.codexcoder.com/labartisan/html/heal/heal/index.html)
10:23:40	77782/77782	---M--	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2016:43:24%20GMT	https://demos.codexcoder.com/labartisan/html/heal/heal/index-3.html	C:/Users/Itsme/OneDrive/Desktop/new/demos.codexcoder.com/labartisan/html/heal/heal/index-3.html	(from https://demos.codexcoder.com/labartisan/html/heal/heal/index.html)
10:23:40	47116/47116	---M--	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2016:43:24%20GMT	https://demos.codexcoder.com/labartisan/html/heal/heal/event-grid.html	C:/Users/Itsme/OneDrive/Desktop/new/demos.codexcoder.com/labartisan/html/heal/heal/event-grid.html	(from https://demos.codexcoder.com/labartisan/html/heal/heal/index.html)
10:23:40	38005/38005	---M--	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2016:43:24%20GMT	https://demos.codexcoder.com/labartisan/html/heal/heal/event-list.html	C:/Users/Itsme/OneDrive/Desktop/new/demos.codexcoder.com/labartisan/html/heal/heal/event-list.html	(from https://demos.codexcoder.com/labartisan/html/heal/heal/index.html)
10:23:41	37960/37960	---M--	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2016:43:24%20GMT	https://demos.codexcoder.com/labartisan/html/heal/heal/event-single.html	C:/Users/Itsme/OneDrive/Desktop/new/demos.codexcoder.com/labartisan/html/heal/heal/event-single.html	(from https://demos.codexcoder.com/labartisan/html/heal/heal/index.html)
10:23:41	33576/33576	---M--	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2016:43:24%20GMT	https://demos.codexcoder.com/labartisan/html/heal/heal/event-single2.html	C:/Users/Itsme/OneDrive/Desktop/new/demos.codexcoder.com/labartisan/html/heal/heal/event-single2.html	(from https://demos.codexcoder.com/labartisan/html/heal/heal/index.html)
